Date,Miti,Inv.No,Customer,Product Group,Product,Uom,Qty,Rate,B. Amount,DISCOUNT,VAT,ROUND OFF,Total Amount
2025-07-17,01/04/2082,ABT-000020,ANONYMIZED,POOJA ITEMS,Til Oil 500ml,PCS,1.0,175.0,154.867256,0.0,20.132744,0.0,175.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,GAULE,Gaule Chukamilo,PCS,1.0,105.0,105.0,0.0,0.0,0.0,105.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,ESSENTIAL FOOD ITEM,Krishma Mixnut 100gm,PCS,1.0,80.0,70.79646,0.0,9.20354,0.0,80.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,ESSENTIAL FOOD ITEM,Mong Khosta,KG,4.0,185.0,740.0,0.0,0.0,0.0,740.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,ESSENTIAL FOOD ITEM,Sugar,KG,5.0,105.0,464.6017690000001,0.0,60.398231,0.0,525.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,GAULE,GAULE JIMBU 25GM,PKT,1.0,115.0,115.0,0.0,0.0,0.0,115.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,PERSONAL CARE,Close Up Red 150g,PCS,1.0,135.0,119.469026,0.0,15.530974,0.0,135.0
2025-07-17,01/04/2082,ABT-000029,ANONYMIZED,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,5.0,70.0,350.0,0.0,0.0,0.0,350.0
2025-07-17,01/04/2082,ABT-000003,ANONYMIZED,DAIRY PRODUCT,LUV WHOLE MILK (RED),PKT,6.0,65.0,390.0,0.0,0.0,0.0,390.0
2025-07-17,01/04/2082,ABT-000003,ANONYMIZED,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,2.0,70.0,140.0,0.0,0.0,0.0,140.0
2025-07-17,01/04/2082,ABT-000012,ANONYMIZED,SOFT DRINK,NIMBU FRESH 1.5ML,PCS,1.0,160.0,141.59292,0.0,18.40708,0.0,160.0
2025-07-17,01/04/2082,ABT-000012,ANONYMIZED,Hard Drinks,Tuborg Can 500ml,PCS,4.0,330.0,1168.141592,0.0,151.858408,0.0,1320.0
2025-07-17,01/04/2082,ABT-000012,ANONYMIZED,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,2.0,170.0,300.88495500000005,0.0,39.115045,0.0,340.0
2025-07-17,01/04/2082,ABT-000017,ANONYMIZED,BISCUITS,Parle Monaco 25g,PKT,1.0,110.0,97.345132,0.0,12.654868,0.0,110.0
2025-07-17,01/04/2082,ABT-000026,ANONYMIZED,GAULE,Gaule Timurko Dana,PKT,1.0,210.0,210.0,0.0,0.0,0.0,210.0
2025-07-17,01/04/2082,ABT-000026,ANONYMIZED,GAULE,GAULE BHANGO 200GM,PKT,1.0,115.0,115.0,0.0,0.0,0.0,115.0
2025-07-17,01/04/2082,ABT-000013,ANONYMIZED,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,1.0,170.0,150.44247700000005,0.0,19.557523,0.0,170.0
2025-07-17,01/04/2082,ABT-000013,ANONYMIZED,Hard Drinks,Tuborg Can 500ml,PCS,4.0,330.0,1168.141592,0.0,151.858408,0.0,1320.0
2025-07-17,01/04/2082,ABT-000013,ANONYMIZED,Hard Drinks,CARLSBERG 500ML,PKT,2.0,380.0,672.566371,0.0,87.433629,0.0,760.0
2025-07-17,01/04/2082,ABT-000013,ANONYMIZED,DAIRY PRODUCT,SAFAL DHAPA DAHI 1L,PCS,1.0,210.0,210.0,0.0,0.0,0.0,210.0
2025-07-17,01/04/2082,ABT-000014,ANONYMIZED,CANNED AND PACK GOODS ,KRISHMA KHURPANI 100GM,PCS,1.0,115.0,101.769911,0.0,13.230089,0.0,115.0
2025-07-17,01/04/2082,ABT-000016,ANONYMIZED,CHOCOLATE & CANDY,MASMELLOUS 18GM,PCS,1.0,40.0,35.39823,0.0,4.60177,0.0,40.0
2025-07-17,01/04/2082,ABT-000016,ANONYMIZED,CANNED AND PACK GOODS ,PRAWN 120gm,PCS,2.0,35.0,61.946902,0.0,8.053098,0.0,70.0
2025-07-17,01/04/2082,ABT-000016,ANONYMIZED,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,4.0,70.0,280.0,0.0,0.0,0.0,280.0
2025-07-17,01/04/2082,ABT-000005,ANONYMIZED,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,4.0,70.0,280.0,0.0,0.0,0.0,280.0
2025-07-17,01/04/2082,ABT-000023,ANONYMIZED,Cigarette,Khukuri FT,PKT,1.0,149.0,131.858407,0.0,17.141593,0.0,149.0
2025-07-17,01/04/2082,ABT-000023,ANONYMIZED,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,1.0,170.0,150.44247700000005,0.0,19.557523,0.0,170.0
2025-07-17,01/04/2082,ABT-000040,ANONYMIZED,Hard Drinks,Khukuri Rum 180ml,PCS,1.0,520.0,460.176991,0.0,59.823009,0.0,520.0
2025-07-17,01/04/2082,ABT-000057,ANONYMIZED,DAIRY PRODUCT,SAFAL DHAPA DAHI 1L,PCS,1.0,210.0,210.0,0.0,0.0,0.0,210.0
2025-07-17,01/04/2082,ABT-000057,ANONYMIZED,Hard Drinks,Gorkha Strong Can 500ml,PCS,2.0,270.0,477.8761060000001,0.0,62.123894,0.0,540.0
2025-07-17,01/04/2082,ABT-000058,ANONYMIZED,ESSENTIAL FOOD ITEM,SALT,PKT,1.0,26.0,26.0,0.0,0.0,0.0,26.0
2025-07-17,01/04/2082,ABT-000058,ANONYMIZED,ESSENTIAL FOOD ITEM,TRUST METHI 100GM,PCS,1.0,25.0,22.123893,0.0,2.876107,0.0,25.0
2025-07-17,01/04/2082,ABT-000010,ANONYMIZED,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,2.0,170.0,300.88495500000005,0.0,39.115045,0.0,340.0
2025-07-17,01/04/2082,ABT-000010,ANONYMIZED,SOFT DRINK,NIMBU FRESH 1.5ML,PCS,1.0,160.0,141.59292,0.0,18.40708,0.0,160.0
2025-07-17,01/04/2082,ABT-000051,ANONYMIZED,POOJA ITEMS,RuRu Pitambari 200g,PCS,2.0,40.0,70.79646,0.0,9.20354,0.0,80.0
2025-07-17,01/04/2082,ABT-000060,ANONYMIZED,CANNED AND PACK GOODS ,BAM MACORONI-750gm,PCS,1.0,195.0,172.56637099999998,0.0,22.433629,0.0,195.0
2025-07-17,01/04/2082,ABT-000060,ANONYMIZED,BISCUITS,Kar Digestive(Rs20),PKT,2.0,175.0,309.734513,0.0,40.26548700000001,0.0,350.0
2025-07-17,01/04/2082,ABT-000060,ANONYMIZED,PERSONAL_CARE,Indica Easy Burgundy 3.16,PCS,2.0,50.0,88.495575,0.0,11.504425,0.0,100.0
2025-07-17,01/04/2082,ABT-000060,ANONYMIZED,SOAP AND CLEANER,RIN SHAKTI 500G,PCS,1.0,95.0,84.070796,0.0,10.929204,0.0,95.0
2025-07-17,01/04/2082,ABT-000060,ANONYMIZED,BISCUITS,BRT MARI 40g,DOZ,2.0,110.0,194.690265,0.0,25.309735,0.0,220.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,SOAP AND CLEANER,ZOOM HERBAL SOAP,PCS,3.0,20.0,53.097345,0.0,6.902655,0.0,60.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,ESSENTIAL FOOD ITEM,Rato Dal,KG,2.0,140.0,280.0,0.0,0.0,0.0,280.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,CANNED AND PACK GOODS ,Berrak Spaghetti 500g,PKT,5.0,185.0,818.58407,0.0,106.41593,0.0,925.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,ESSENTIAL FOOD ITEM,Jomsom Timur Pickle,PCS,1.0,180.0,180.0,0.0,0.0,0.0,180.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,ESSENTIAL FOOD ITEM,Kalo Dal,KG,1.0,190.0,190.0,0.0,0.0,0.0,190.0
2025-07-17,01/04/2082,ABT-000031,ANONYMIZED,ESSENTIAL FOOD ITEM,Bodi,KG,2.0,170.0,340.0,0.0,0.0,0.0,340.0
2025-07-17,01/04/2082,ABT-000032,ANONYMIZED,Cooking Oil ,Dhara Mustard Oil 500ml,PCS,2.0,163.0,288.49557500000003,0.0,37.504425,0.0,326.0
2025-07-17,01/04/2082,ABT-000032,ANONYMIZED,ESSENTIAL FOOD ITEM,Sugar,KG,1.0,105.0,92.920353,0.0,12.079647,0.0,105.0
2025-07-17,01/04/2082,ABT-000001,ANONYMIZED,ESSENTIAL FOOD ITEM,Gharana Suji 500g,PCS,1.0,45.0,39.823008,0.0,5.176992,0.0,45.0
2025-07-17,01/04/2082,ABT-000001,ANONYMIZED,FROZEN,PHEWA CHI SAUSAGE 400GM,PCS,2.0,430.0,761.061946,0.0,98.938054,0.0,860.0
